id,brand_name,generic_name,condition,category,branded_price_LKR,generic_price_LKR,free_at_government_hospital,prescription_required,notes
28,Ramipril,Ramipril,High Blood Pressure & Heart Failure,ACE Inhibitor,420,22,Yes,Yes,Protects kidneys in diabetic patients
29,Simvastatin,Simvastatin,High Cholesterol,Statin,380,15,Yes,Yes,Cheaper alternative to atorvastatin
30,Glibenclamide,Glibenclamide,Diabetes Type 2,Sulphonylurea,95,8,Yes,Yes,Oldest diabetes drug very affordable
31,Hydrocortisone Cream,Hydrocortisone,Skin Inflammation & Eczema,Topical Steroid,220,25,No,No,Available OTC at pharmacies
32,Chlorpheniramine,Chlorpheniramine,Cold & Allergies,Antihistamine,45,5,Yes,No,Very cheap effective antihistamine
33,Tetracycline,Tetracycline,Bacterial Infections & Acne,Antibiotic,120,12,Yes,Yes,Avoid in children under 8 and pregnant women
34,Cotrimoxazole,Cotrimoxazole,Urinary & Respiratory Infections,Antibiotic,85,8,Yes,Yes,Very affordable broad spectrum antibiotic
35,Nifedipine,Nifedipine,High Blood Pressure & Angina,Calcium Channel Blocker,180,12,Yes,Yes,Available at government hospitals
36,Spironolactone,Spironolactone,Fluid Retention & Heart Failure,Diuretic,280,20,Yes,Yes,Also used for PCOS and hormonal acne
37,Carbamazepine,Carbamazepine,Epilepsy & Nerve Pain,Anticonvulsant,320,18,Yes,Yes,Free at government hospitals for epilepsy
38,Phenytoin,Phenytoin,Epilepsy,Anticonvulsant,180,12,Yes,Yes,Older epilepsy drug very affordable
39,Haloperidol,Haloperidol,Psychosis & Schizophrenia,Antipsychotic,220,15,Yes,Yes,Available free at psychiatric hospitals
40,Diazepam,Diazepam,Anxiety & Muscle Spasm,Benzodiazepine,95,8,Yes,Yes,Short term use only risk of dependence
41,Ranitidine,Famotidine,Acidity & Ulcers,H2 Blocker,120,10,Yes,No,Alternative to omeprazole for mild acidity
42,Bisoprolol,Bisoprolol,Heart Failure & Hypertension,Beta Blocker,380,22,Yes,Yes,Preferred beta blocker for heart failure
43,Losartan,Losartan,High Blood Pressure & Kidney Protection,ARB,420,25,Yes,Yes,Good alternative to ACE inhibitors
44,Metoprolol,Metoprolol,High Blood Pressure & Angina,Beta Blocker,280,18,Yes,Yes,Widely available generic
45,Clopidogrel,Clopidogrel,Heart Attack Prevention,Antiplatelet,680,35,Yes,Yes,Free at government hospitals post heart attack
46,Aspirin Low Dose,Aspirin,Heart Attack Prevention,Antiplatelet,95,5,Yes,No,75mg daily dose available cheaply everywhere
47,Calcium Carbonate,Calcium Carbonate,Bone Health & Osteoporosis,Supplement,280,20,No,No,Take with Vitamin D for best absorption
48,Vitamin D3,Cholecalciferol,Bone Health & Immunity,Supplement,350,30,No,No,Sun exposure also provides free Vitamin D
49,Multivitamin,Multivitamin,General Nutrition,Supplement,420,35,No,No,Generic brands equally effective as expensive ones
50,Albendazole,Albendazole,Worm Infections,Antiparasitic,120,15,Yes,No,Free deworming tablets at government health centers
