id,symptoms,possible_condition,severity,urgency_level,home_remedy,when_to_seek_help,specialist_needed,common_in_sri_lanka
22,weakness;facial drooping;arm weakness;slurred speech,Stroke,Critical,EMERGENCY,Call 1990 immediately;note time symptoms started,Immediately - every minute counts,Neurologist - Emergency,Increasing in Sri Lanka
23,swollen legs;shortness of breath;fatigue;weight gain,Heart Failure,High,SEEK HELP TODAY,Reduce salt;rest;elevate legs,Severe breathlessness;cannot lie flat,Cardiologist,Common in elderly
24,severe headache;stiff neck;sensitivity to light;fever,Meningitis,Critical,EMERGENCY,Go to emergency immediately - do not wait,Immediately - life threatening condition,Neurologist - Emergency,Rare but serious
25,itching all over;dark urine;pale stools;fatigue,Liver Disease,High,URGENT,Avoid alcohol;low fat diet;hydration,Any of these symptoms present,Gastroenterologist,Increasing in Sri Lanka
26,painful urination;lower back pain;fever;chills,Kidney Infection,High,URGENT,Drink lots of water;seek medical help,High fever;severe pain;cannot urinate,General Physician or Urologist,Common especially in women
27,sudden vision loss;eye pain;redness,Eye Emergency,Critical,EMERGENCY,Cover eye gently;go to eye hospital immediately,Immediately - can cause permanent blindness,Ophthalmologist - Emergency,Rare but serious
28,confusion;memory loss;disorientation in elderly,Dementia or Delirium,Medium,SEEK HELP THIS WEEK,Safe environment;routine;family support,Sudden confusion in previously normal person,Neurologist or Geriatrician,Increasing in elderly population
29,weight gain;fatigue;cold intolerance;hair loss;dry skin,Hypothyroidism,Medium,SEEK HELP THIS WEEK,Cannot treat at home - needs blood test,Any of these symptoms persistent for weeks,Endocrinologist,Common especially in women
30,weight loss;heat intolerance;racing heart;anxiety;tremors,Hyperthyroidism,Medium,SEEK HELP THIS WEEK,Cannot treat at home - needs blood test,Any of these symptoms persistent,Endocrinologist,Common in Sri Lanka
31,painful periods;heavy bleeding;pelvic pain,Gynecological Disorder,Medium,SEEK HELP THIS WEEK,Warm compress;paracetamol;rest,Severe pain;very heavy bleeding;fainting,Gynecologist,Common in women
32,lump in breast;nipple discharge;breast pain,Breast Condition,Medium,SEEK HELP THIS WEEK,Cannot treat at home - needs examination,Any lump or abnormality noticed,Gynecologist or Oncologist,Early detection saves lives
33,rash on one side of body;burning pain;blisters,Shingles,High,SEEK HELP TODAY,Cool compress;calamine;avoid touching rash,Rash near eye;severe pain;widespread blisters,General Physician or Dermatologist,Common in elderly and immunocompromised
34,hair loss;bald patches;scalp itching,Alopecia or Scalp Infection,Low,SEEK HELP THIS WEEK,Gentle shampooing;balanced diet;reduce stress,Spreading hair loss;scalp wounds,Dermatologist,Common in Sri Lanka
35,heel pain;foot pain when walking;morning stiffness,Plantar Fasciitis or Gout,Medium,SEEK HELP THIS WEEK,Rest;ice pack;arch support;paracetamol,Cannot walk;severe swelling;redness with fever,Orthopedic Surgeon or Rheumatologist,Common in overweight patients
36,mouth ulcers;sore mouth;difficulty eating,Oral Ulcers or Vitamin Deficiency,Low,CAN WAIT,Salt water rinse;vitamin B supplements;soft foods,Ulcers lasting over 3 weeks;spreading;painless,ENT or Oncologist if persistent,Very common in Sri Lanka
37,snoring;daytime sleepiness;gasping during sleep,Sleep Apnea,Medium,SEEK HELP THIS WEEK,Lose weight;sleep on side;avoid alcohol,Severe daytime sleepiness;driving accidents,Pulmonologist,Increasingly common
38,nosebleed;frequent bleeding;easy bruising,Bleeding Disorder or Dengue Warning,High,URGENT,Pinch nose;lean forward;do not swallow blood,Bleeding does not stop;combined with fever,General Physician - check for dengue,Common during dengue outbreaks
39,swollen lymph nodes;fever;night sweats;fatigue,Lymphoma or Infection,High,SEEK HELP TODAY,Cannot treat at home - needs examination,Any swollen glands lasting over 2 weeks,General Physician or Oncologist,Needs proper diagnosis
40,bedwetting;frequent urination in children;growth problems,Childhood Kidney or Diabetes Issue,Medium,SEEK HELP THIS WEEK,Limit drinks before bed;routine toilet schedule,Persistent bedwetting after age 5,Pediatrician or Urologist,Common in Sri Lankan children
41,excessive alcohol use;withdrawal symptoms;shaking,Alcohol Dependency,Medium,SEEK HELP THIS WEEK,Cannot safely stop alone - needs medical help,Shaking;seizures;hallucinations during withdrawal,Psychiatrist or Addiction Specialist,Increasing post-economic crisis
42,swollen face;puffy eyes in morning;foamy urine,Kidney Disease,High,URGENT,Reduce salt and protein;drink adequate water,Any of these symptoms present,Nephrologist or General Physician,Increasing in Sri Lanka
43,seizures;convulsions;loss of consciousness,Epilepsy or Seizure,Critical,EMERGENCY,Turn person on side;clear area;do not hold down,First ever seizure or seizure over 5 minutes,Neurologist - Emergency,Common in Sri Lanka
44,redness;warmth;swelling;pus in wound,Wound Infection,Medium,SEEK HELP TODAY,Clean with clean water;antiseptic;keep dry,Spreading redness;fever;red streaks,General Physician,Very common especially after injuries
45,coughing blood;rust coloured sputum;chest pain,Hemoptysis,High,URGENT,Rest;do not suppress cough;go to doctor,Any blood in sputum - needs urgent evaluation,Pulmonologist or General Physician,TB or lung cancer concern
46,sudden severe abdominal pain;vomiting blood;black stools,Upper GI Bleed,Critical,EMERGENCY,Go to emergency immediately - do not wait,Immediately - life threatening,Gastroenterologist - Emergency,Increasing with pain medication overuse
47,painful red eye;vision changes;halos around lights,Acute Glaucoma,Critical,EMERGENCY,Go to eye hospital immediately,Immediately - can cause permanent blindness within hours,Ophthalmologist - Emergency,Increasing in Sri Lanka
48,leg pain;swelling;warmth;redness in calf,Deep Vein Thrombosis,High,URGENT,Do not massage;elevate leg;go to doctor,Any of these symptoms present especially after long travel,General Physician or Vascular Surgeon,Risk increases with long distance travel
49,persistent fatigue;pallor;dizziness;breathlessness,Anemia,Medium,SEEK HELP THIS WEEK,Iron rich foods;leafy vegetables;avoid tea with meals,Severe breathlessness;fainting;chest pain,General Physician,Very common especially in women and children
50,red urine;painful urination;clots in urine,Bladder or Kidney Problem,High,URGENT,Drink lots of water;go to doctor today,Any blood in urine,General Physician or Urologist,Needs urgent evaluation
